Position,Track Name,Artist,Streams,date,region,spotify_id
116,We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,1377833,2017-01-06--2017-01-13,us,68EMU2RD1ECNeOeJ5qAXCV
117,True Colors,The Weeknd,1375358,2017-01-06--2017-01-13,us,6i759FCuKx713ZnYjtpQGU
118,Change,J. Cole,1370879,2017-01-06--2017-01-13,us,3pjUyVbFmM96tYhSaKJwTt
119,Solo Dance,Martin Jensen,1368790,2017-01-06--2017-01-13,us,6HUnnBwYZqcED1eQztxMBN
120,Into You,Ariana Grande,1359102,2017-01-06--2017-01-13,us,7yHEDfrJNd0zWOfXwydNH0
121,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,1359066,2017-01-06--2017-01-13,us,17Fd6Yb7mSbinKG8LoWfFl
122,By Your Side,Jonas Blue,1349069,2017-01-06--2017-01-13,us,1D3ODoXHBLpdxolZRHWV1j
123,Party (feat. Usher & Gucci Mane),Chris Brown,1340616,2017-01-06--2017-01-13,us,05Z7jet4VDNVgNQWcYHnrk
124,Father Stretch My Hands Pt. 1,Kanye West,1320965,2017-01-06--2017-01-13,us,4KW1lqgSr8TKrvBII0Brf8
125,This Is What You Came For (feat. Rihanna),Calvin Harris,1313566,2017-01-06--2017-01-13,us,0azC730Exh71aQlOt9Zj3y
126,Living Single,Big Sean,1313467,2017-01-06--2017-01-13,us,36xxq7VDZZsGwARsn6Clo7
127,Secrets,The Weeknd,1302855,2017-01-06--2017-01-13,us,3DX4Y0egvc0slLcLl31h2p
128,Let Me Explain,Bryson Tiller,1298503,2017-01-06--2017-01-13,us,1trZGMI2CGyVT44STkpCoN
129,The Hills,The Weeknd,1288770,2017-01-06--2017-01-13,us,25khomWgBVamSdKw7hzm3l
130,Timeless (feat. DJ SPINKING),A Boogie Wit da Hoodie,1282406,2017-01-06--2017-01-13,us,0q5DrtpnnGpOvBy5nnPMbe
131,All Time Low,Jon Bellion,1277308,2017-01-06--2017-01-13,us,5wQRNkb7OhzJoT1P0OZ4Rw
132,What They Want,Russ,1275752,2017-01-06--2017-01-13,us,3pndPhlQWjuSoXhcIIdBjv
133,Pop Style,Drake,1266742,2017-01-06--2017-01-13,us,1WRy5l3TwrwlzNmB5bOeKw
134,Good Drank,2 Chainz,1259679,2017-01-06--2017-01-13,us,39pS70eeDvyCAF3t8NAlVV
135,Cake - Challenge Version,Flo Rida,1258995,2017-01-06--2017-01-13,us,6t2ubAB4iSYOuIpRAOGd4t
136,Gold,Kiiara,1258765,2017-01-06--2017-01-13,us,6WhzFzROw3aq3rPWjgYlxr
137,Never Be Like You,Flume,1253236,2017-01-06--2017-01-13,us,12REd1n8PeiHHWOh066tpr
138,Rockin’,The Weeknd,1228619,2017-01-06--2017-01-13,us,36YCdzT57us0LhDmCYtrNE
139,Drinkin' Too Much,Sam Hunt,1223901,2017-01-06--2017-01-13,us,1PouCui4RgDYcrQVAqdYuf
140,Wyclef Jean,Young Thug,1223348,2017-01-06--2017-01-13,us,55OdqrG8WLmsYyY1jijD9b
141,Blue Ain't Your Color,Keith Urban,1222530,2017-01-06--2017-01-13,us,6ZOPiKQeibCn7fP8dncucL
142,My Shit,A Boogie Wit da Hoodie,1217356,2017-01-06--2017-01-13,us,5uQOauh47VFt3B2kV9kRXw
143,Go Flex,Post Malone,1213558,2017-01-06--2017-01-13,us,5yuShbu70mtHXY0yLzCQLQ
144,Location,Khalid,1205642,2017-01-06--2017-01-13,us,152lZdxL1OR0ZMW6KquMif
145,Still Here,Drake,1193254,2017-01-06--2017-01-13,us,433P7tDcIAi6NLnf4Sh6tI
146,Feel Me,Tyga,1189810,2017-01-06--2017-01-13,us,2Cth0v1xri32oZ799rL3rl
147,Roses (feat. ROZES),The Chainsmokers,1187927,2017-01-06--2017-01-13,us,6O6M7pJLABmfBRoGZMu76Y
148,Hear Me Now,Alok,1185997,2017-01-06--2017-01-13,us,1a5Yu5L18qNxVhXx38njON
149,Love Yourself,Justin Bieber,1178343,2017-01-06--2017-01-13,us,3hB5DgAiMAQ4DzYbsMq1IT
150,Capsize,FRENSHIP,1177358,2017-01-06--2017-01-13,us,2XMTqoHHSH0lvuXrvIEdco
151,Somebody Else,VÉRITÉ,1173671,2017-01-06--2017-01-13,us,34i4yxPrHWquuR4kjiivFO
152,It's Gotta Be You,Isaiah Firebrace,1169304,2017-01-06--2017-01-13,us,6cAKeFFYW2aClZSUyvqAEW
153,The Greatest (feat. Kendrick Lamar),Sia,1164183,2017-01-06--2017-01-13,us,7xHWNBFm6ObGEQPaUxHuKO
154,Tiimmy Turner,Desiigner,1156997,2017-01-06--2017-01-13,us,3NJG6vMH1ZsectZkocMEm0
155,7 Years,Lukas Graham,1154029,2017-01-06--2017-01-13,us,7129iqBafaphfc3WPCGC0L
156,History,Olivia Holt,1141502,2017-01-06--2017-01-13,us,0WCEaydwN65cvwaW8aqptF
157,Famous,Kanye West,1138428,2017-01-06--2017-01-13,us,19a3JfW8BQwqHWUMbcqSx8
158,Black Barbies,Nicki Minaj,1136052,2017-01-06--2017-01-13,us,3y9cCbnBn0zjkJa2YkOj70
159,Send My Love (To Your New Lover),Adele,1131966,2017-01-06--2017-01-13,us,4BHzQ9C00ceJxfG16AlNWb
160,Say It (feat. Tove Lo),Flume,1130458,2017-01-06--2017-01-13,us,4sQMalN597HdggTu196aL0
161,She's Mine Pt. 1,J. Cole,1129907,2017-01-06--2017-01-13,us,0HtOJj7Kl74s1Ngf3MWeif
162,You & Me,Marc E. Bassy,1123857,2017-01-06--2017-01-13,us,4QdovcM8j50QPlyR7tH4xe
163,oui,Jeremih,1121197,2017-01-06--2017-01-13,us,0PJIbOdMs3bd5AT8liULMQ
164,'Till I Collapse,Eminem,1119897,2017-01-06--2017-01-13,us,6yr8GiTHWvFfi4o6Q5ebdT
165,Oh Lord,MiC LOWRY,1114359,2017-01-06--2017-01-13,us,1sTUEdVO85YU8Ymk2jeAls
166,My Way,Calvin Harris,1108070,2017-01-06--2017-01-13,us,1vvNmPOiUuyCbgWmtc6yfm
167,"Crazy Brazy (feat. A$AP Rocky, A$AP Twelvyy & Key!)",A$AP Mob,1105378,2017-01-06--2017-01-13,us,59e7E2LMPZ2bhW5G6aCwX8
168,4 Your Eyez Only,J. Cole,1102417,2017-01-06--2017-01-13,us,1vvnYpYEMVB4aq9I6tHIEB
169,Dynamite (feat. Pretty Sister),Nause,1100073,2017-01-06--2017-01-13,us,2Ae5awwKvQpTBKQHr1TYCg
170,"Lose Yourself - From ""8 Mile"" Soundtrack",Eminem,1098326,2017-01-06--2017-01-13,us,5Z01UMMf7V1o0MzF86s6WJ
171,Ophelia,The Lumineers,1096545,2017-01-06--2017-01-13,us,7bTwYGhBdSQ8vuXc76Xint
172,Hotline Bling,Drake,1095833,2017-01-06--2017-01-13,us,2FBUoWkIuQXwayw2RNo5l6
173,Ville Mentality,J. Cole,1090737,2017-01-06--2017-01-13,us,2z3joGXrdGL2iEjIKQTiN1
174,Do What I Want,Lil Uzi Vert,1090689,2017-01-06--2017-01-13,us,4IWGnyOHDrVZEtPWfs4s7q
175,For Whom The Bell Tolls,J. Cole,1088954,2017-01-06--2017-01-13,us,3MWlVSkoLS1e66nlZ2tuWJ
176,How Far I'll Go,Auli'i Cravalho,1079119,2017-01-06--2017-01-13,us,6mb6lVLNrcUgLnEN8QnDJd
177,No Type,Rae Sremmurd,1073103,2017-01-06--2017-01-13,us,4scpF6J5uMBvoh6sFB7EL1
